Year,ONI_CrossYear_annual_control,ONI_local_annual_control,SST_anomaly_annual_control,SeaIce_annual_control,AOD_annual_control,Snow_annual_control,Phase,CO2_Global_ppm_annual_control,CO2_RF_annual_control,CO2_RF_ref2000_annual_control,CO2_RF_ref278ppm_annual_control,CO2_CT2025_PBL_ppm_annual_control,CO2_RF_CT2025_annual_control,ONI_annual_control,ONI_Lag1_annual_control,AOD_annual_control_from_spatial,Snow_annual_control_from_spatial,SST_annual_control_from_spatial,SST_landfill_annual_control_from_spatial,SST_OceanRaw_annual_control_from_spatial,SST_landfill_method
2001,-0.4058333333333333,-0.3083333333333334,0.0092272835477155,0.731923403644604,0.1649913161537083,0.2985846068022676,P1,370.56,-0.1325139404291741,0.0230051873684861,1.537559297708572,374.0015974862956,-0.1296620371626949,-0.3083333333333333,-0.8358333333333333,0.1905500825686317,0.1470991148175338,-0.03936118260025978,-0.03936118260025978,0.04782351478934288,nearest_valid_ocean_to_land_mask
2002,0.2466666666666666,0.6308333333333332,0.0275208886710766,0.7357819828878563,0.173430751513351,0.2885209891803784,P1,372.58,-0.1034291741232954,0.0520899536743643,1.566644064014451,375.68442154684345,-0.1055970177395667,0.6308333333333334,-0.3083333333333333,0.2080965034353253,0.141604805443131,-0.031816266477108,-0.031816266477108,0.05545191466808319,nearest_valid_ocean_to_land_mask
2003,0.4733333333333333,0.2508333333333333,0.0844258534563251,0.7333405300177942,0.1762882615066444,0.2892848234768209,P1,375.15,-0.0666523853268577,0.0888667424708018,1.603420852810888,379.4329403035504,-0.052935283057399,0.2508333333333333,0.6308333333333334,0.2084298177319569,0.1414558622434884,-0.03480614349246025,-0.03480614349246025,0.03723813220858574,nearest_valid_ocean_to_land_mask
2004,0.3608333333333333,0.4466666666666666,0.0381906832900215,0.7469482116467828,0.1712304652766192,0.2946768690732353,P1,376.95,-0.0410440396639015,0.1144750881337579,1.6290291984738443,379.8159532904553,-0.0470994705798935,0.4466666666666667,0.2508333333333333,0.1993772164373192,0.1449330126653062,-0.06885269284248352,-0.06885269284248352,-0.01245129108428955,nearest_valid_ocean_to_land_mask
2005,0.3508333333333334,0.0408333333333333,0.1238990026208135,0.7767993822622504,0.1732822308949823,0.2905689198705076,P1,378.97,-0.0124509988026969,0.1430681289949631,1.6576222393350488,381.4236733723913,-0.0244352563332331,0.0408333333333333,0.4466666666666667,0.1959854599640473,0.1431258114135702,0.10591663420200348,0.10591663420200348,0.20543977618217468,nearest_valid_ocean_to_land_mask
2006,-0.2908333333333333,0.0716666666666666,0.0953337936215784,0.7910625829299942,0.1743194068874692,0.2887770740015336,P1,381.15,0.0182363452407577,0.1737554730384178,1.6883095833785042,385.2910573017232,0.0291864317884361,0.0716666666666666,0.0408333333333333,0.2021553827230449,0.1427813812757563,0.09193472564220428,0.09193472564220428,0.15247800946235657,nearest_valid_ocean_to_land_mask
2007,-0.0166666666666666,-0.6075,0.0665616802517959,0.8201751632846712,0.1789722709022256,0.2881573594767857,P1,382.9,0.0427439465027262,0.1982630743003865,1.7128171846404727,386.0039879153184,0.0394187576148088,-0.6075,0.0716666666666666,0.2025307943235741,0.1415586264767443,0.10289036482572556,0.10289036482572556,0.11913523077964783,nearest_valid_ocean_to_land_mask
2008,-1.0158333333333334,-0.7816666666666667,0.032065958414297,0.8181214859115924,0.1797160076392841,0.2912689179485327,P1,385.02,0.0722835569164076,0.2278026847140678,1.742356795054154,387.8895681868828,0.0654313594276236,-0.7816666666666666,-0.6075,0.2034856055946744,0.1431143714757592,-0.0020930541213601828,-0.0020930541213601828,0.019827144220471382,nearest_valid_ocean_to_land_mask
2009,-0.1816666666666666,0.2816666666666667,0.0958722944779601,0.8077886708428477,0.1809062948799782,0.2914369846013576,P1,386.5,0.0928092975643451,0.2483284253620049,1.7628825357020916,389.7903034447905,0.0914178846245557,0.2816666666666667,-0.7816666666666666,0.203645849961096,0.1446057383290079,0.08893377333879471,0.08893377333879471,0.05849144607782364,nearest_valid_ocean_to_land_mask
2010,0.2541666666666666,-0.475,0.1124809419069513,0.8135203919154427,0.1790045476625902,0.2881549896980302,P1,388.75,0.1238638833072706,0.2793830111049306,1.7939371214450166,392.1786768501005,0.1242055467390425,-0.475,0.2816666666666667,0.2050507037009585,0.1419717559525772,0.21742846071720123,0.21742846071720123,0.2810005247592926,nearest_valid_ocean_to_land_mask
2011,-0.935,-0.775,0.0411227586432547,0.8056413349279552,0.186401534685692,0.2927684409278701,P1,390.62,0.1495372328041321,0.3050563606017921,1.8196104709418783,394.61098952068727,0.1573132907482057,-0.775,-0.475,0.2107566977258899,0.1455800604210352,0.036855995655059814,0.036855995655059814,0.055888980627059937,nearest_valid_ocean_to_land_mask
2012,-0.3333333333333333,-0.0633333333333333,0.0994128992989561,0.7841947452096115,0.1850251358086077,0.2897769950561272,P1,392.65,0.1772684731590721,0.332787600956732,1.847341711296819,396.5916820267891,0.1840591944352594,-0.0633333333333333,-0.775,0.2151671217773263,0.1434513440099999,0.11749754846096039,0.11749754846096039,0.22189219295978546,nearest_valid_ocean_to_land_mask
2013,-0.1741666666666667,-0.2341666666666666,0.1194430626715086,0.7779300167342736,0.1755318642052234,0.2909474190351145,P1,395.4,0.2146076260577083,0.3701267538553683,1.8846808641954549,399.3624266452306,0.2212168297467757,-0.2341666666666666,-0.0633333333333333,0.1993729422303425,0.1439580730015261,0.04207077994942665,0.04207077994942665,0.17375986278057098,nearest_valid_ocean_to_land_mask
