Year,ALLUMs_direct_all_land_common,ALLUMs_direct_snow_free_common,GLASS_ERA5_common,MODIS_ERA5_common,Common_pixels,ALLUMs_formal_all_land,ALLUMs_formal_snow_free
2001,0.20060843265650427,0.17273766135013366,0.22400615562059106,0.21888480886294676,15250,0.2528004637887511,0.1701860458113697
2002,0.20166323674559475,0.17478455937315895,0.22419567672229823,0.21653977598827187,15250,0.2538923503163687,0.1720460410149612
2003,0.20279897311943137,0.17641310569076968,0.22557511093334548,0.21734865040727738,15250,0.2548620388364792,0.1728431571928365
2004,0.20262887500267798,0.17596181336235622,0.2257299741066472,0.21747758566512065,15250,0.2544994813666478,0.1724209881895598
2005,0.201682882423373,0.17550194898708046,0.22422425561558054,0.21523929302360736,15250,0.2536126379115521,0.1723391632217842
2006,0.20215885953747362,0.17575847863882638,0.22436565048241341,0.2159209852344669,15250,0.2540258125753906,0.172577311577472
2007,0.20107163128894343,0.17503363069400898,0.22327527676640813,0.21435269741892468,15250,0.2531667034631686,0.1721620208560715
2008,0.20234818017529282,0.1762219709827668,0.22444307651049428,0.21592249378394932,15250,0.2543680785053339,0.1733693664939464
2009,0.2039408507181578,0.1767639111553098,0.22562616694094348,0.2179297828937386,15250,0.2558970755738839,0.1738917593886392
2010,0.20192199298596072,0.17525769062673113,0.2244651364290007,0.21689840964091553,15250,0.2540302023561314,0.1726671689853606
2011,0.20262720482420013,0.17517115359850266,0.22529018189328706,0.21738866827752085,15250,0.2546176607774914,0.1723792093339899
2012,0.20118114260412734,0.17512849337090325,0.22403602709501733,0.2164238138938974,15250,0.2532928603171694,0.1723295699949055
2013,0.20313450488972523,0.17562012594200713,0.2262579436602709,0.21795342611635407,15250,0.2552478795480037,0.1726237974121579
2014,0.2013108998081117,0.1750980425884492,0.2244931063224588,0.2160963414778879,15250,0.2533497305141616,0.1723331194354726
2015,0.20091595319418204,0.17521951089707022,0.22314287873624808,0.21518939729100048,15250,0.2532355349575608,0.1724050413556701
2016,0.19954013726431225,0.17429367950477795,0.2230329465868457,0.2141084342143053,15250,0.2519694591777074,0.1718265699181446
2017,0.20288170679251527,0.1759265995138502,0.22298003239828393,0.21680860602755012,15250,0.2552034893383816,0.1730629598858266
2018,0.20502104822852685,0.17728949932769714,0.22458701360247824,0.21844241768631853,15250,0.257245204232487,0.1742735237488896
2019,0.2024062014134973,0.17675543761308532,0.22272197824471285,0.21689690179611856,15250,0.2546795149486576,0.1742055496805862
2020,0.20220693875056345,0.17641447502045512,0.22197716790909816,0.21579672575143913,15250,0.2546214012210531,0.1739530620560632
