Year,T2M_C,GLASS_Albedo,T2M_valid_land_pixels,GLASS_valid_land_pixels,T2M_common_land_coverage,GLASS_common_land_coverage,T2M_unit_handling,T2M_file,GLASS_file,common_mask_source,reference_grid
2001,9.076622741508732,0.2793193114363679,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2001.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2001_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
2002,9.262633606021987,0.27986882559608267,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2002.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2002_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
2003,9.207477167964088,0.28134290484107005,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2003.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2003_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
2004,9.039387924779776,0.28123173186779404,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2004.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2004_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
2005,9.428698427140105,0.2800380549149577,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2005.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2005_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
2006,9.279846426061166,0.2803702311942436,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2006.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2006_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
2007,9.464210243899121,0.2795316473055347,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2007.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2007_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
2008,9.149717890013871,0.2805326836935655,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2008.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2008_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
2009,9.250454357098562,0.28154141210999284,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2009.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2009_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
2010,9.462456452473695,0.2805489109511044,8773435,8773435,0.9999620459533464,0.9999620459533464,already_Celsius,D:\10_Research\01_Datasets\01_DataRaw\ERA5\Annual_Tif\T2M_ERA5_2010.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2010_native_ERA5Land_landmask.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\mask_ERA5Land\common_land_mask_GLASS_native_ERA5Land_gt0p5.tif,D:\10_Research\01_Datasets\02_DataProcess\03_SurfaceAlbedo_GLASS\blueSky_annual_updated_updated\annual_native_ERA5Land_landmask\GLASS_BlueSky_shortwave_annual_2020_native_ERA5Land_landmask.tif
