Year,T2M,T2M_ValidPixels,Rn,Rn_ValidPixels,LH,LH_ValidPixels,SH,SH_ValidPixels,SM,SM_ValidPixels,VPD,VPD_ValidPixels,SWdown,SWdown_ValidPixels,LWdown,LWdown_ValidPixels,SWabs_MODIS,SWabs_MODIS_ValidPixels,SurfaceAlbedo_GLASS,SurfaceAlbedo_GLASS_ValidPixels,AlbedoLoss,AlbedoLoss_ValidPixels,GLASS_Albedo_R1_global,MODIS_Albedo_R1_global,T2M_R1_global,GLASS_Albedo_adjusted_R1_global,GLASS_Albedo_R1_was_adjusted,GLASS_Albedo_main,AlbedoLoss_main,EvaporativeFraction,BowenRatio,HeatRetentionIndex
2001,9.444537471840293,342128,71.83025741754054,342128,42.76981520740622,342128,28.510915009211082,342128,0.24531719352757356,342080,0.7719616360490422,342128,189.675479141481,342128,305.0766127024331,342128,142.7133030542492,342122,0.27238216852395186,342128,0.500287729443578,342122,0.2284941366092731,0.2318875245820327,11.055006129858882,0.2284941366092731,False,0.2284941366092731,-0.0012192615270279483,0.6000193190702684,0.6666130043104325,-1.7613455275489698
2002,9.624856695125807,342128,72.19248323957008,342128,42.149075508570974,342128,29.493060257623473,342128,0.2450127805826744,340311,0.798641139998743,342128,190.85841430482756,342128,305.4501951011995,342128,143.92410290714196,342122,0.2729311657052288,342128,0.5075446268993259,342122,0.2280694003827758,0.2277392004284017,11.20065164326722,0.2280694003827758,False,0.2280694003827758,-0.0007945253005306463,0.5883280147611084,0.6997320795713796,0.21512089482794236
2003,9.567866224467577,342128,72.13633278469315,342128,42.390741190290186,342128,29.15302605312958,342128,0.24746765757914385,340163,0.7901752063640537,342128,190.43633200689456,342128,305.5654315666508,342128,143.4117349564231,342123,0.27443820047038847,342128,0.5058989082724439,342123,0.2288895590494697,0.2259868915975355,11.178526160868923,0.2288895590494697,False,0.2288895590494697,-0.001614683967224556,0.5925148035056691,0.6877215456616557,-0.39762942785042216
2004,9.412932903808494,342128,72.10069211143927,342128,42.48042534507968,342128,29.19739551158213,342128,0.24730403932752001,342092,0.7887344585589128,342128,189.98577526062257,342128,305.0153571856943,342128,143.17102194174066,342123,0.27435084448115316,342128,0.505294251815323,342123,0.2287428515334098,0.2258530665716345,11.048374238084945,0.2287428515334098,False,0.2287428515334098,-0.001467976451164671,0.5926578799044434,0.687314104658887,-0.49885780152645964
2005,9.795009727162938,342128,72.60619817551867,342128,42.120544080970404,342128,29.822147136523018,342128,0.24559412809828055,342116,0.8086881295473298,342128,190.47306642752994,342128,306.6715877635313,342128,143.81381684230558,342123,0.27311230413935467,342128,0.5126118916665741,342123,0.2268823059369365,0.2227360843586242,11.376857319210789,0.2268823059369365,False,0.2268823059369365,0.0003925691453086355,0.5854735674765593,0.7080190388612841,1.0896964745893951
2006,9.646265610823326,342128,72.37696075044869,342128,42.56986174102424,342128,29.23345007950338,342128,0.2466112579845834,342125,0.7923558519685661,342128,189.69049826294219,342128,306.2723298406691,342128,143.10718182463955,342123,0.2734083482144088,342128,0.50996497832774,342123,0.226411786684353,0.2228476395873138,11.277194188234825,0.226411786684353,False,0.226411786684353,0.0008630883978921478,0.5928676639237422,0.6867170548343908,-0.1678263616051508
2007,9.826853143200218,342128,72.30751322571801,342128,42.42333163918509,342128,29.349306647916787,342128,0.24778873890066416,340255,0.8075573546994518,342128,190.51775018023386,342128,305.9421469558803,342128,143.91299086923132,342123,0.2725692304608493,342128,0.5145431892708325,342123,0.2258690046582097,0.2219158080281272,11.398227750293945,0.2258690046582097,False,0.2258690046582097,0.0014058704240354492,0.5910794510504834,0.6918199376120606,0.24319431280974566
2008,9.513125939351584,342128,71.83776777519869,342128,41.91291259670104,342128,29.350102537745524,342128,0.24699483848570908,342127,0.7997894676130018,342128,190.2268775460664,342128,304.5618179839363,342128,143.25689766901283,342123,0.27355231670774527,342128,0.5096223160692427,342123,0.2271130558502248,0.2235186326130637,11.141099869296854,0.2271130558502248,False,0.2271130558502248,0.00016181923202035486,0.5881439694577489,0.7002639692488387,-0.06843781095245244
2009,9.616079296865482,342128,72.15512362346776,342128,41.902225581671075,342128,29.685163583771597,342128,0.2469571281443901,342076,0.8092456743457861,342128,190.42231227693821,342128,305.5227079742146,342128,143.22617765320746,342123,0.2745931473176971,342128,0.5022958357073845,342123,0.2272748484740254,0.2251547521614804,11.241287152574808,0.2272748484740254,False,0.2272748484740254,2.6608219738655237e-08,0.5853297077901887,0.7084388280501387,0.6825571951470109
2010,9.82948048997295,342128,72.33120329138589,342128,42.88668038612578,342128,28.815678633697946,342128,0.24366786903995935,342120,0.8127187673588958,342128,188.90474239463654,342128,307.7491070008584,342128,142.19909770591167,342123,0.27357444160927946,342128,0.5058110142338227,342123,0.2258629102047296,0.2237716657458857,11.450951653002212,0.2258629102047296,False,0.2258629102047296,0.001411964877515548,0.598120912232034,0.671902753355097,-0.2776242715222391
