Region,DisplayRegion,Feature,P1_MeanAbs_SHAP,P3_MeanAbs_SHAP,P3_minus_P1_MeanAbs_SHAP,MedianGain,PositiveFractionPercent,N
Plateau,Plateau,AlbedoLoss,0.11556624322613879,0.17225953280318845,0.05669328957704968,0.0426670778542757,76.75310445580716,5476
Plateau,Plateau,Rn,0.05981077122630882,0.07368528464829391,0.013874513421985094,0.011669982224702835,68.49890430971513,5476
Plateau,Plateau,SM,0.0631488511170709,0.07746177037282274,0.014312919255751835,0.01319434866309166,72.18772826880935,5476
Plateau,Plateau,LH,0.11998784504427042,0.13018232699868024,0.010194481954409808,0.00788237527012825,58.984660336011686,5476
Plateau,Plateau,SH,0.08336793107993039,0.10370889284557815,0.020340961765647765,0.013647884130477905,66.8918918918919,5476
I Boreal Arctic,Boreal-Arctic,AlbedoLoss,0.15038514199338718,0.22841008433732807,0.07802494234394086,0.07220281474292278,76.51985860759216,91094
I Boreal Arctic,Boreal-Arctic,Rn,0.049261123332078764,0.0667803688331644,0.017519245501085638,0.012825926765799522,67.79370759874416,91094
I Boreal Arctic,Boreal-Arctic,SM,0.056768576556554644,0.06777316732963125,0.011004590773076611,0.009051727131009102,67.25360616506026,91094
I Boreal Arctic,Boreal-Arctic,LH,0.12258613681131195,0.17025898001294573,0.04767284320163378,0.0351959764957428,76.05001427097284,91094
I Boreal Arctic,Boreal-Arctic,SH,0.05465935025610293,0.0694215815154148,0.01476223125931187,0.011398445814847946,66.72558016993435,91094
II MidLat Arid,Mid-latitude arid,AlbedoLoss,0.10805388762693505,0.1176239336212662,0.009570045994331117,0.009798221290111542,58.675812529439476,67936
II MidLat Arid,Mid-latitude arid,Rn,0.036261626942696384,0.04423057114250004,0.007968944199803653,0.0051543209701776505,63.68935468676401,67936
II MidLat Arid,Mid-latitude arid,SM,0.057886990206852715,0.06910887468002466,0.01122188447317196,0.008778701536357403,67.94630240226095,67936
II MidLat Arid,Mid-latitude arid,LH,0.11082205802965725,0.1124544695321437,0.0016324115024864583,0.00035318732261657715,50.43717616580311,67936
II MidLat Arid,Mid-latitude arid,SH,0.08073587773463085,0.10839265334956816,0.027656775614937307,0.015112193301320076,70.04975270843147,67936
SiberianTaiga,Siberian taiga,AlbedoLoss,0.11913899983041874,0.20576604274211377,0.08662704291169503,0.07423131167888641,84.68808367575645,26770
SiberianTaiga,Siberian taiga,Rn,0.046846603808159526,0.06847046655131493,0.021623862743155395,0.020664118230342865,76.88830780724692,26770
SiberianTaiga,Siberian taiga,SM,0.05299800355512933,0.06388281573830087,0.010884812183171557,0.008689247071743011,66.38027642883824,26770
SiberianTaiga,Siberian taiga,LH,0.11687543371352921,0.17090527336644148,0.054029839652912276,0.04636026546359062,83.74299589092267,26770
SiberianTaiga,Siberian taiga,SH,0.05113560417093897,0.06368424160454579,0.012548637433606813,0.008947154507040977,64.07545760179305,26770
Greenland,Greenland,AlbedoLoss,0.09612948263981166,0.19628021292306524,0.10015073028325358,0.11767727509140968,81.73704414587331,10420
Greenland,Greenland,Rn,0.0328583372363937,0.03336092113949378,0.0005025839031000867,-0.0007897857576608658,47.255278310940504,10420
Greenland,Greenland,SM,0.04612583752665888,0.06222001044414168,0.0160941729174828,0.012160109356045723,74.89443378119002,10420
Greenland,Greenland,LH,0.10357786668749877,0.1232374754002527,0.019659608712753927,0.018370822072029114,66.20921305182341,10420
Greenland,Greenland,SH,0.04172589068970466,0.06274166446806047,0.021015773778355794,0.01667776331305504,76.65067178502879,10420
Sahelian,Sahel,AlbedoLoss,0.048417938523691535,0.08389859211360257,0.03548065358991104,0.024445733055472374,74.35275080906149,4944
Sahelian,Sahel,Rn,0.022470135007739915,0.027463849519175305,0.004993714511435386,0.003611372783780098,62.904530744336576,4944
Sahelian,Sahel,SM,0.03593114277017378,0.05201288534577976,0.016081742575605976,0.011695182882249355,78.37783171521036,4944
Sahelian,Sahel,LH,0.0979173485288727,0.11124722875737969,0.013329880228506995,0.01013685017824173,62.661812297734635,4944
Sahelian,Sahel,SH,0.05580708736854274,0.11537985425434857,0.05957276688580584,0.0195996155962348,78.80258899676376,4944
Amazon,Amazon,AlbedoLoss,0.029255156956286842,0.1151969405204483,0.08594178356416143,0.08182628266513348,99.4724446537918,10615
Amazon,Amazon,Rn,0.040451314112904806,0.06113160132289204,0.020680287209987235,0.019119631499052048,81.27178520960905,10615
Amazon,Amazon,SM,0.04439449412369102,0.08816722397532856,0.04377272985163755,0.044983718544244766,97.56947715496939,10615
Amazon,Amazon,LH,0.1003992393377519,0.11446679800189012,0.014067558664138257,0.011153772473335266,61.394253414978806,10615
Amazon,Amazon,SH,0.07024492856541927,0.12075691753482277,0.05051198896940351,0.046496547758579254,82.47762600094207,10615
III Tropical South,Tropical/Southern,AlbedoLoss,0.04162593322664123,0.10038400976975198,0.05875807654311073,0.0652676522731781,90.22071288049301,176383
III Tropical South,Tropical/Southern,Rn,0.03001793784116764,0.03900612959466182,0.00898819175349418,0.005196893587708473,65.80849628365544,176383
III Tropical South,Tropical/Southern,SM,0.04839454869463236,0.06974813690611785,0.021353588211485502,0.016495879739522934,77.65034045231116,176383
III Tropical South,Tropical/Southern,LH,0.10306096517913796,0.10783570491261693,0.00477473973347895,-0.0012807771563529968,48.72181559447339,176383
III Tropical South,Tropical/Southern,SH,0.09270642923504084,0.1343226691735094,0.04161623993846858,0.02076067589223385,77.0459738183385,176383
