Year,Site,Longitude,Latitude,Date,Obs_Albedo,MODIS_Albedo,GLASS_Albedo,MODIS_Error,GLASS_Error,N_Records,N_Albedo_Between_0_And_1,SW_IN_sum,SW_OUT_sum,Obs_Albedo_Mean_Of_Records
2001,CA-Mer,-75.5186,45.4094,2001-01-01,0.2898719408,0.2257373929023742,0.2552104294300079,-0.0641345478976257,-0.034661511369992,1,1,154.623,44.82086911,0.289871941
2002,CA-Mer,-75.5186,45.4094,2002-01-01,0.2600902852,0.2126595973968505,0.246491476893425,-0.0474306878031494,-0.013598808306575,1,1,149.809,38.96386553,0.260090285
2003,CA-Mer,-75.5186,45.4094,2003-01-01,0.2678284018,0.2158324718475341,0.2363056391477584,-0.0519959299524658,-0.0315227626522415,1,1,150.044,40.18604472,0.267828402
2004,CA-Mer,-75.5186,45.4094,2004-01-01,0.2411251439,0.2147339582443237,0.232787549495697,-0.0263911856556762,-0.0083375944043029,1,1,150.775,36.35564357,0.241125144
2005,CA-Mer,-75.5186,45.4094,2005-01-01,0.2721483104,0.2203400433063507,0.249874085187912,-0.0518082670936492,-0.0222742252120879,1,1,152.573,41.52248416,0.27214831
2006,CA-Mer,-75.5186,45.4094,2006-01-01,0.2522725709,0.1940871924161911,0.2183081358671188,-0.0581853784838088,-0.0339644350328811,1,1,144.807,36.53083417,0.252272571
2007,CA-Mer,-75.5186,45.4094,2007-01-01,0.250435246,0.2149417847394943,0.2278846204280853,-0.0354934612605056,-0.0225506255719146,1,1,154.97,38.80995008,0.250435246
2008,CA-Mer,-75.5186,45.4094,2008-01-01,0.3210459431,0.2387072294950485,0.2694123685359955,-0.0823387136049514,-0.0516335745640045,1,1,153.306,49.21826935,0.321045943
2009,CA-Mer,-75.5186,45.4094,2009-01-01,0.2587938081,0.2040053755044937,0.2337242513895034,-0.0547884325955063,-0.0250695567104965,1,1,149.968,38.81078981,0.258793808
2010,CA-Mer,-75.5186,45.4094,2010-01-01,0.235908871,0.1972061395645141,0.2174455672502517,-0.0387027314354858,-0.0184633037497482,1,1,149.96,35.37689429,0.235908871
2011,CA-Mer,-75.5186,45.4094,2011-01-01,0.232893484,0.2053764909505844,0.2178041636943817,-0.0275169930494156,-0.0150893203056182,1,1,148.71,34.63359,0.232893484
2012,CA-Mer,-75.5186,45.4094,2012-01-01,0.2443694678,0.1976462602615356,0.1973953247070312,-0.0467232075384643,-0.0469741430929687,1,1,154.554,37.76827873,0.244369468
2013,CA-Mer,-75.5186,45.4094,2013-01-01,0.2993041002,0.2307686805725097,0.254962295293808,-0.0685354196274902,-0.0443418049061919,1,1,147.458,44.134784,0.2993041
2014,CA-Mer,-75.5186,45.4094,2014-01-01,0.3151122606,0.2281582355499267,0.2567232251167297,-0.0869540250500732,-0.0583890354832702,1,1,149.366,47.06705792,0.315112261
2015,CA-Mer,-75.5186,45.4094,2015-01-01,0.2740923216,0.2053332775831222,0.2264313548803329,-0.0687590440168777,-0.047660966719667,1,1,157.611,43.1999649,0.274092322
2016,CA-Mer,-75.5186,45.4094,2016-01-01,0.2497590327,0.2109484672546386,0.2290418893098831,-0.0388105654453613,-0.0207171433901168,1,1,160.642,40.12179053,0.249759033
2017,CA-Mer,-75.5186,45.4094,2017-01-01,0.2899598104,0.2111848592758178,0.2331341505050659,-0.0787749511241821,-0.0568256598949341,1,1,145.95,42.31963433,0.28995981
2018,CA-Mer,-75.5186,45.4094,2018-01-01,0.2510251216,0.2389151006937027,0.2385295927524566,-0.0121100209062973,-0.0124955288475433,1,1,149.973,37.64699056,0.251025122
2019,CA-Mer,-75.5186,45.4094,2019-01-01,0.2891689965,0.2386662364006042,0.2435051947832107,-0.0505027600993957,-0.0456638017167892,1,1,149.749,43.30276806,0.289168997
2020,CA-Mer,-75.5186,45.4094,2020-01-01,0.2370621608,0.2112493067979812,0.2201084047555923,-0.0258128540020187,-0.0169537560444076,1,1,150.941,35.78239961,0.237062161
