Latitude,T2M_mean_C,GLASS_albedo_mean,T2M_slope_C_per_year,GLASS_albedo_slope_per_year
90.0,,,,
89.75,,,,
89.5,,,,
89.25,,,,
89.0,,,,
88.75,,,,
88.5,,,,
88.25,,,,
88.0,,,,
87.75,,,,
87.5,,,,
87.25,,,,
87.0,,,,
86.75,,,,
86.5,,,,
86.25,,,,
86.0,,,,
85.75,,,,
85.5,,,,
85.25,,,,
85.0,,,,
84.75,,,,
84.5,,,,
84.25,,,,
84.0,,,,
83.75,,,,
83.5,-15.420704,0.53972685,0.04684532540041802,-2.682533956343127e-05
83.25,-18.532722,0.5107269,0.04899351885861448,-0.00015203153423945924
83.0,-18.461433,0.51396334,0.053485821267832884,7.380615358335384e-05
82.75,-18.282011,0.54675525,0.061385722128146726,-0.0003451760330137098
82.5,-19.206207,0.5626199,0.06098924337691445,-0.0005655851203760849
82.25,-19.188963,0.55428594,0.05644941115565635,-0.0007990691730384238
82.0,-18.729725,0.5659938,0.05396584151388869,-0.0005315541831240623
81.75,-18.017956,0.572872,0.054136616137142754,-0.0005941001064032581
81.5,-18.077774,0.57853496,0.05701526164312838,-0.0005996662162642177
81.25,-17.813292,0.5960752,0.06320565767942767,-0.0006165550972289456
81.0,-17.535248,0.626116,0.06929842024788387,-0.0009153768567667194
80.75,-17.639633,0.6352729,0.07398255582483447,-0.0011276871454274531
80.5,-18.11412,0.6512393,0.07061497232188349,-0.0012670314937340114
80.25,-17.393864,0.63767767,0.06964016342569819,-0.0012070815131543103
80.0,-18.041258,0.65168446,0.06953042428345493,-0.001272645800183247
79.75,-17.9303,0.65528667,0.06794694544352847,-0.001059713909455387
79.5,-17.853937,0.6596505,0.06285337213440602,-0.001037673261964198
79.25,-18.382944,0.6553719,0.06193846201658442,-0.0010712355628806837
79.0,-18.34323,0.65531456,0.05854787565593921,-0.0011016870908373611
78.75,-18.124807,0.6604066,0.0550446931065225,-0.0012120720932870149
78.5,-18.312849,0.6561917,0.05345049164020271,-0.0012163926355737934
78.25,-19.1237,0.68028766,0.05250412822806316,-0.0013194642989774762
78.0,-19.214575,0.69485164,0.04867818316704871,-0.001290821112003719
77.75,-19.028522,0.68640006,0.043074848296079174,-0.0012533033771832177
77.5,-18.635242,0.67304945,0.04614633520543795,-0.001384379216653069
77.25,-18.871399,0.6686209,0.04460648048089685,-0.0013311417459390738
77.0,-18.89352,0.66995543,0.047136611862841724,-0.0014596545208768355
76.75,-18.448067,0.6656524,0.05123878759226963,-0.0016084646229075582
76.5,-17.750025,0.6467902,0.05024518979841679,-0.0016972693131393594
76.25,-17.072319,0.6375643,0.06287134333789739,-0.0016597384506776313
76.0,-17.246672,0.6333301,0.06914075231723416,-0.001852671905888747
75.75,-17.08911,0.62023616,0.06737932142244231,-0.0020013618828453616
75.5,-16.97267,0.6160453,0.06639460919774791,-0.002124132120624163
75.25,-16.739424,0.6141929,0.06563356222534482,-0.0020721135587400408
75.0,-16.75481,0.6211914,0.06565120446110516,-0.0020011181012045184
74.75,-16.956978,0.62901413,0.06700277880843292,-0.0019625441410795973
74.5,-16.83651,0.6225908,0.06502444939912805,-0.0018490209781389308
74.25,-16.547255,0.6126222,0.06544507927261153,-0.0018655787046303225
74.0,-16.358473,0.60610056,0.06486182180240747,-0.0019219463961804278
73.75,-15.457434,0.58359045,0.0693105016556265,-0.00202984142846713
73.5,-15.106784,0.57302946,0.07510442924461296,-0.002215730726056098
73.25,-15.043738,0.56972367,0.07846109081994647,-0.0023728517213503996
73.0,-14.869576,0.5651567,0.07908751598363224,-0.0024255512424771015
72.75,-14.353325,0.552849,0.0816281164504862,-0.0025348360160341744
72.5,-14.207276,0.5532548,0.08108582445127063,-0.002591992349036244
72.25,-14.023496,0.5458431,0.0814379742122608,-0.0025399166624171395
72.0,-13.70099,0.54062074,0.08105360810958451,-0.0023790819373745355
