Region,DisplayRegion,Year,T2M_C,GLASS_Albedo,ValidPixels,T2M_z,GLASS_z
Plateau,Plateau,2001,-2.4681877842758233,0.2359355105835535,5476,-0.4409438641110363,-1.0588746672539853
Plateau,Plateau,2002,-2.7582598497142348,0.2435087054483355,5476,-1.0878332434810443,0.5091007351059001
Plateau,Plateau,2003,-2.6185179709330377,0.23986201253815084,5476,-0.7761950404016071,-0.2459207433087217
Plateau,Plateau,2004,-2.621999522937489,0.24150144565731776,5476,-0.783959245520773,0.09351206550780838
Plateau,Plateau,2005,-2.89513611618381,0.2473565230434003,5476,-1.3930808478415788,1.3057636296375144
Plateau,Plateau,2006,-2.127871208976872,0.24172524383401356,5476,0.317995738886368,0.13984786465432852
Plateau,Plateau,2007,-2.262140981166936,0.23472351004843145,5476,0.018560874419473503,-1.3098106408621455
Plateau,Plateau,2008,-2.714323970653639,0.24589430104533658,5476,-0.989851890141734,1.0030211059484124
Plateau,Plateau,2009,-2.339082828184505,0.245415130942884,5476,-0.1530270500831875,0.9038123905242476
Plateau,Plateau,2010,-2.0365765972642462,0.23612620442795906,5476,0.521591747420825,-1.0193928814623852
Plateau,Plateau,2011,-2.5683335175823223,0.24021460593722557,5476,-0.6642787487276673,-0.1729188218403305
Plateau,Plateau,2012,-3.0471447767417934,0.243440045800475,5476,-1.7320751868469604,0.4948852499768201
Plateau,Plateau,2013,-2.396866952171363,0.24091416431003138,5476,-0.2818913584984171,-0.028080303796205106
Plateau,Plateau,2014,-2.585812669874636,0.24094475731287407,5476,-0.703258986142805,-0.021746243099478185
Plateau,Plateau,2015,-2.188720992126198,0.2418584223518137,5476,0.18229470750034277,0.16742151669442967
Plateau,Plateau,2016,-1.3884531855990827,0.22963215446051652,5476,1.9669710220282537,-2.3639391122741857
Plateau,Plateau,2017,-1.7968784104165778,0.23722818353052405,5476,1.056142398107065,-0.7912360523318225
Plateau,Plateau,2018,-2.229897392146186,0.23557813910344275,5476,0.0904672651943663,-1.1328658559561835
Plateau,Plateau,2019,-2.5907552012391273,0.2511615853131274,5476,-0.7142813196517566,2.093574342276752
Plateau,Plateau,2020,-2.159578695270762,0.24532785425667464,5476,0.24728491018579296,0.8857423818133725
Plateau,Plateau,2021,-1.896503226885376,0.234423170333198,5476,0.8339692095308103,-1.3719938137827012
Plateau,Plateau,2022,-1.6879066141324168,0.24292115078960128,5476,1.2991602756146905,0.3874517786368869
Plateau,Plateau,2023,-1.8756540221777847,0.24566606086894932,5476,0.8804649969595921,0.9557656227876999
Plateau,Plateau,2024,-1.2365304967605564,0.24383607602200996,5476,2.3057736356009952,0.5768804524039546
I Boreal Arctic,Boreal-Arctic,2001,-4.497701477272197,0.34692633338436807,91267,-1.1504478512790965,0.7140782352776897
I Boreal Arctic,Boreal-Arctic,2002,-4.463058477078652,0.3478129585163154,91267,-1.0817307545483048,0.8943781373598846
I Boreal Arctic,Boreal-Arctic,2003,-4.126925116134918,0.34605694667013215,91267,-0.4149839788830514,0.537283856458286
I Boreal Arctic,Boreal-Arctic,2004,-4.818548556215913,0.3543148989099884,91267,-1.7868730926378273,2.2165820475386595
I Boreal Arctic,Boreal-Arctic,2005,-3.766491469418332,0.34486535359000775,91267,0.29996431162530823,0.29496711184223545
I Boreal Arctic,Boreal-Arctic,2006,-4.292895475793645,0.3473228876454448,91267,-0.7441991506463277,0.7947196381278137
I Boreal Arctic,Boreal-Arctic,2007,-3.77787093872175,0.34443821165935123,91267,0.277392245450342,0.20810554487602215
I Boreal Arctic,Boreal-Arctic,2008,-4.065332976835149,0.3423819223634523,91267,-0.2928111598294862,-0.21005174093084833
I Boreal Arctic,Boreal-Arctic,2009,-4.79344254071125,0.34715777502350337,91267,-1.7370733499388626,0.7611431146390348
I Boreal Arctic,Boreal-Arctic,2010,-4.032180447907593,0.3427176097078837,91267,-0.22705052927042296,-0.14178794696610647
I Boreal Arctic,Boreal-Arctic,2011,-3.9466715720952004,0.346073077253673,91267,-0.057436995289138655,0.5405640957929783
I Boreal Arctic,Boreal-Arctic,2012,-4.155553394129267,0.3419341579243607,91267,-0.4717704043422496,-0.30110700387696343
I Boreal Arctic,Boreal-Arctic,2013,-4.2428443123475645,0.3503046936504627,91267,-0.6449187586249157,1.4010856335875215
I Boreal Arctic,Boreal-Arctic,2014,-4.198045343046304,0.3466422676038539,91267,-0.5560565039207712,0.656311958904365
I Boreal Arctic,Boreal-Arctic,2015,-3.7314504468554928,0.3442496042507019,91267,0.36947091681376876,0.16975123245453094
I Boreal Arctic,Boreal-Arctic,2016,-3.35316495862169,0.3430546067481085,91267,1.1198297293181405,-0.07325781944639997
I Boreal Arctic,Boreal-Arctic,2017,-3.5609288179421474,0.3405007898242533,91267,0.7077138866277385,-0.5925899754113917
I Boreal Arctic,Boreal-Arctic,2018,-4.165313364556659,0.3455665976928115,91267,-0.49113006800306924,0.4375688028111606
I Boreal Arctic,Boreal-Arctic,2019,-3.458083091681856,0.3355012029941289,91267,0.9117164175948411,-1.6092823558123865
I Boreal Arctic,Boreal-Arctic,2020,-2.94193265113202,0.33471158084298025,91267,1.9355411311804982,-1.7698561895603016
I Boreal Arctic,Boreal-Arctic,2021,-3.9839664791398715,0.33769712261257917,91267,-0.1314143563905622,-1.1627305066477018
I Boreal Arctic,Boreal-Arctic,2022,-3.573402791988244,0.33987088399695614,91267,0.6829707848076274,-0.7206846513803001
I Boreal Arctic,Boreal-Arctic,2023,-3.1226757261229783,0.3334706133310744,91267,1.5770231247092013,-2.0222134855827902
I Boreal Arctic,Boreal-Arctic,2024,-2.956687162490318,0.3383843571535239,91267,1.9062744054766236,-1.0229777340551955
II MidLat Arid,Mid-latitude arid,2001,12.80053512734117,0.22443433295689635,68415,-0.5321688826383477,0.12606822093234268
II MidLat Arid,Mid-latitude arid,2002,12.744696859990746,0.22261544909425593,68415,-0.6874771724808442,-0.7108348247500017
II MidLat Arid,Mid-latitude arid,2003,12.484420700168785,0.22668158797473675,68415,-1.411408039014332,1.1600729792819768
II MidLat Arid,Mid-latitude arid,2004,12.673456458368069,0.2216685564318144,68415,-0.8856248849496956,-1.146518140990537
II MidLat Arid,Mid-latitude arid,2005,12.610335658434007,0.2235161416616456,68415,-1.061188776102114,-0.2964090505955121
II MidLat Arid,Mid-latitude arid,2006,12.989392334054196,0.22277522224300692,68415,-0.006882350823923108,-0.6373201614147361
II MidLat Arid,Mid-latitude arid,2007,12.990861450155768,0.2213499711549338,68415,-0.0027961583229417237,-1.2931052838023298
II MidLat Arid,Mid-latitude arid,2008,12.634791931726898,0.22556695917666197,68415,-0.9931662144921178,0.6472110780499429
II MidLat Arid,Mid-latitude arid,2009,12.691864262010052,0.22545845319518412,68415,-0.8344255079086538,0.5972854130645263
II MidLat Arid,Mid-latitude arid,2010,13.04562318725677,0.2273041690981955,68415,0.14951787543076425,1.446534390650258
II MidLat Arid,Mid-latitude arid,2011,12.524734251533616,0.22894402067330114,68415,-1.299280119989604,2.201061277089625
II MidLat Arid,Mid-latitude arid,2012,12.768981014648814,0.22730565591446103,68415,-0.6199333408188378,1.4472185030812625
II MidLat Arid,Mid-latitude arid,2013,12.74225841916313,0.22665369154399642,68415,-0.6942594401404489,1.1472373011335333
II MidLat Arid,Mid-latitude arid,2014,12.7040057129392,0.2237054301617692,68415,-0.8006553343432979,-0.20931381295009815
II MidLat Arid,Mid-latitude arid,2015,13.168715944295352,0.2210233099760994,68415,0.49188748134431526,-1.4434083026414921
II MidLat Arid,Mid-latitude arid,2016,13.381875087680738,0.22188769330737199,68415,1.084767303630284,-1.0456890983329044
II MidLat Arid,Mid-latitude arid,2017,13.246559163032249,0.22305792784455322,68415,0.7084002377662063,-0.5072419393659123
II MidLat Arid,Mid-latitude arid,2018,13.083051767374924,0.22345266813288886,68415,0.25362154922320174,-0.3256144279303838
II MidLat Arid,Mid-latitude arid,2019,12.984707278056426,0.22268847793692786,68415,-0.019913343176598642,-0.6772328658178488
II MidLat Arid,Mid-latitude arid,2020,13.229531708091612,0.22213179976758657,68415,0.661040156003562,-0.9333710750547424
