Year,StrictCommonPixels,SurfaceAlbedo_GLASS,T2M,Rn,SWabs_MODIS,VPD,SH,LH,GLASS_Albedo_main,AlbedoLoss_main,EvaporativeFraction,BowenRatio,HeatRetentionIndex,AlbedoLoss_main_z,HeatRetentionIndex_z,VPD_z,Period,T2M_z,Rn_z,SH_z,LH_z,EvaporativeFraction_z
2001,337735,0.2738306153724789,9.406743132044056,71.52374415437869,142.60384244867703,0.7767464117952477,28.68799359623372,42.36703722270747,0.2738306153724789,0.0013529367550898,0.5962566863233795,0.677130039691749,-1.7639199357931397,0.3432522518565061,-2.2138410289516472,-1.8927526517084081,P1,-1.3354024323114746,-1.2596130482182253,-2.3700385852007644,1.3722585680172386,2.232979163469626
2002,337735,0.274387916173297,9.590940705898944,71.87645523577396,143.80056740030315,0.8036392094096549,29.66346567467895,41.722185479141785,0.274387916173297,0.0007956359542717,0.5844617903567125,0.710975835374411,0.214673512853097,-0.07038122917277026,-0.4102321803945176,-0.7261916479346119,P1,-0.7409371020811764,-0.41570002134513795,-0.013883402434844252,-0.3209405449986157,-0.13409211462116077
2003,337735,0.2759158995607471,9.534761727575718,71.82281009780377,143.27501578608428,0.7951492156876422,29.33101903574756,41.985531242961294,0.2759158995607471,-0.0007323474331782,0.5887207258186159,0.698598259148258,-0.4031508453191338,-1.2044637328727732,-0.973416840697514,-1.0944722463457839,P1,-0.9222448913315778,-0.5440538870143469,-0.8168749883752376,0.37053128269639213,0.7206168913424228
2004,337735,0.2758427652393189,9.378718933907845,71.79464333441857,143.04438849608687,0.7936552572750745,29.36794587454419,42.07202171147646,0.2758427652393189,-0.0006592131117501,0.5889143449122882,0.6980398060246571,-0.4997951528192168,-1.1501828061082475,-1.06151403332144,-1.159277464841447,P1,-1.4258456116152736,-0.6114470022280549,-0.7276819048043375,0.5976309006092467,0.7594735456797687
2005,337735,0.274616632129892,9.759505065388712,72.29066834735968,143.68124080491137,0.8137950447000979,30.00606327825459,41.70154253370978,0.274616632129892,0.0005669199976767,0.5815497820839517,0.7195432460082009,1.0998323597746475,-0.24013619301716846,0.3966442043315382,-0.28564985007296106,P1,-0.19692522650627883,0.5753656389284879,0.8136268227214911,-0.3751431074391587,-0.7184916009324227
2006,337735,0.2749314483838193,9.606129417309456,72.0619335220634,142.97423202853213,0.7972572874406288,29.41329103893852,42.15934957658033,0.2749314483838193,0.0002521037437495,0.589042813203668,0.6976694691532364,-0.1669272780307542,-0.47379554323763756,-0.7580846225045543,-1.0030278999653297,P1,-0.6919182026708321,0.028083999793506644,-0.618155198236413,0.8269292861851951,0.7852553417659667
2007,337735,0.2740706378356955,9.792802776904686,71.99753006444504,143.79178697823406,0.8126634652683187,29.520450081702464,42.00065474659064,0.2740706378356955,0.0011129142918732,0.5872484051725045,0.7028569021081453,0.2513111519405844,0.16510550087434026,-0.3768347332870044,-0.3347357226814306,P1,-0.08946270863483866,-0.12601072454799742,-0.35932325463950016,0.41024134502685766,0.4251426520274406
2008,337735,0.2750401807610486,9.478294961014598,71.53463260639988,143.13990461956618,0.8048462107155955,29.520244031400217,41.49466988822434,0.2750401807610486,0.0001433713665201,0.5843092330603745,0.7114225540513985,-0.0673903012171326,-0.5544976553249749,-0.6673505850182248,-0.673834110604247,P1,-1.1044814665930873,-1.2335608287449489,-0.35982094852359564,-0.9183324270591232,-0.1647082383619221
2009,337735,0.2760736919008772,9.582813941243112,71.85080442695386,143.10246625888598,0.8143881100616905,29.867652185790227,41.498500600468574,0.2760736919008772,-0.0008901397733084,0.5814871473421909,0.7197284661762691,0.6851053710783956,-1.3215785743228459,0.0185952084350837,-0.2599237455061254,P1,-0.7671648081998219,-0.47707334601496026,0.47930868069738536,-0.9082740552878117,-0.7310615208920117
2010,337735,0.2751108424501438,9.790637074422724,72.01933146253442,142.0748322467213,0.8179020925686736,28.98445184923795,42.47220230959362,0.2751108424501438,7.270967742500911e-05,0.5943771480706018,0.6824334570164482,-0.2739081166532626,-0.606943372957006,-0.8556041949551944,-0.10749352908291239,P1,-0.09645213316512287,-0.07384767999920597,-1.6539733438429993,1.648392475714012,1.8557820244023515
