Model,Period,Feature,MeanAbs_SHAP,ShareAbs_SHAP,ValidPixels,Years
Model2_main_SHAP_core,P1_2001_2014,AlbedoLoss,0.0840404009142846,0.2312106892019773,335413,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
Model2_main_SHAP_core,P2_2015_2019,AlbedoLoss,0.09968229751048,0.2401859862683643,335413,"2015,2016,2017,2018,2019"
Model2_main_SHAP_core,P3_2020_2024,AlbedoLoss,0.1328320268588414,0.2744699533686678,335413,"2020,2021,2022,2023,2024"
Model2_main_SHAP_core,P1_2001_2014,LH,0.1094812437748455,0.3012031541078614,335413,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
Model2_main_SHAP_core,P2_2015_2019,LH,0.1155370837966747,0.2783883308804902,335413,"2015,2016,2017,2018,2019"
Model2_main_SHAP_core,P3_2020_2024,LH,0.122570762201846,0.2532671689309806,335413,"2020,2021,2022,2023,2024"
Model2_main_SHAP_core,P1_2001_2014,Rn,0.0359424925050884,0.098884445734788,335413,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
Model2_main_SHAP_core,P2_2015_2019,Rn,0.0399214333086364,0.0961912904492744,335413,"2015,2016,2017,2018,2019"
Model2_main_SHAP_core,P3_2020_2024,Rn,0.0464711421530681,0.0960230188559557,335413,"2020,2021,2022,2023,2024"
Model2_main_SHAP_core,P1_2001_2014,SH,0.0810999038618219,0.2231208378602434,335413,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
Model2_main_SHAP_core,P2_2015_2019,SH,0.0993217767790906,0.2393173061756943,335413,"2015,2016,2017,2018,2019"
Model2_main_SHAP_core,P3_2020_2024,SH,0.1129438937806193,0.233375233310151,335413,"2020,2021,2022,2023,2024"
Model2_main_SHAP_core,P1_2001_2014,SM,0.0529156977239859,0.1455808730951296,335413,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
Model2_main_SHAP_core,P2_2015_2019,SM,0.0605586971456708,0.1459170862261768,335413,"2015,2016,2017,2018,2019"
Model2_main_SHAP_core,P3_2020_2024,SM,0.0691405290205053,0.1428646255342447,335413,"2020,2021,2022,2023,2024"
