Region,DisplayRegion,Feature,P1_MeanAbs_SHAP,P3_MeanAbs_SHAP,P3_minus_P1_MeanAbs_SHAP,MedianGain,PositiveFractionPercent,N
Plateau,Plateau,AlbedoLoss,0.1155662432261387,0.1722595328031884,0.0566932895770496,0.0426670778542757,76.75310445580716,5476
Plateau,Plateau,Rn,0.0598107712263088,0.0736852846482939,0.013874513421985,0.0116699822247028,68.49890430971513,5476
Plateau,Plateau,SM,0.0631488511170709,0.0774617703728227,0.0143129192557518,0.0131943486630916,72.18772826880935,5476
Plateau,Plateau,LH,0.1199878450442704,0.1301823269986802,0.0101944819544098,0.0078823752701282,58.984660336011686,5476
Plateau,Plateau,SH,0.0833679310799303,0.1037088928455781,0.0203409617656477,0.0136478841304779,66.8918918918919,5476
I Boreal Arctic,Boreal-Arctic,AlbedoLoss,0.1503851419933871,0.228410084337328,0.0780249423439408,0.0722028147429227,76.51985860759216,91094
I Boreal Arctic,Boreal-Arctic,Rn,0.0492611233320787,0.0667803688331644,0.0175192455010856,0.0128259267657995,67.79370759874416,91094
I Boreal Arctic,Boreal-Arctic,SM,0.0567685765565546,0.0677731673296312,0.0110045907730766,0.0090517271310091,67.25360616506026,91094
I Boreal Arctic,Boreal-Arctic,LH,0.1225861368113119,0.1702589800129457,0.0476728432016337,0.0351959764957428,76.05001427097284,91094
I Boreal Arctic,Boreal-Arctic,SH,0.0546593502561029,0.0694215815154148,0.0147622312593118,0.0113984458148479,66.72558016993435,91094
II MidLat Arid,Mid-latitude arid,AlbedoLoss,0.108053887626935,0.1176239336212662,0.0095700459943311,0.0097982212901115,58.67581252943948,67936
II MidLat Arid,Mid-latitude arid,Rn,0.0362616269426963,0.0442305711425,0.0079689441998036,0.0051543209701776,63.68935468676401,67936
II MidLat Arid,Mid-latitude arid,SM,0.0578869902068527,0.0691088746800246,0.0112218844731719,0.0087787015363574,67.94630240226095,67936
II MidLat Arid,Mid-latitude arid,LH,0.1108220580296572,0.1124544695321437,0.0016324115024864,0.0003531873226165,50.43717616580311,67936
II MidLat Arid,Mid-latitude arid,SH,0.0807358777346308,0.1083926533495681,0.0276567756149373,0.01511219330132,70.04975270843147,67936
SiberianTaiga,Siberian taiga,AlbedoLoss,0.1191389998304187,0.2057660427421137,0.086627042911695,0.0742313116788864,84.68808367575645,26770
SiberianTaiga,Siberian taiga,Rn,0.0468466038081595,0.0684704665513149,0.0216238627431553,0.0206641182303428,76.88830780724692,26770
SiberianTaiga,Siberian taiga,SM,0.0529980035551293,0.0638828157383008,0.0108848121831715,0.008689247071743,66.38027642883824,26770
SiberianTaiga,Siberian taiga,LH,0.1168754337135292,0.1709052733664414,0.0540298396529122,0.0463602654635906,83.74299589092267,26770
SiberianTaiga,Siberian taiga,SH,0.0511356041709389,0.0636842416045457,0.0125486374336068,0.0089471545070409,64.07545760179305,26770
Greenland,Greenland,AlbedoLoss,0.0961294826398116,0.1962802129230652,0.1001507302832535,0.1176772750914096,81.73704414587331,10420
Greenland,Greenland,Rn,0.0328583372363937,0.0333609211394937,0.0005025839031,-0.0007897857576608,47.2552783109405,10420
Greenland,Greenland,SM,0.0461258375266588,0.0622200104441416,0.0160941729174828,0.0121601093560457,74.89443378119002,10420
Greenland,Greenland,LH,0.1035778666874987,0.1232374754002527,0.0196596087127539,0.0183708220720291,66.20921305182341,10420
Greenland,Greenland,SH,0.0417258906897046,0.0627416644680604,0.0210157737783557,0.016677763313055,76.65067178502879,10420
Sahelian,Sahel,AlbedoLoss,0.0484179385236915,0.0838985921136025,0.035480653589911,0.0244457330554723,74.35275080906149,4944
Sahelian,Sahel,Rn,0.0224701350077399,0.0274638495191753,0.0049937145114353,0.00361137278378,62.904530744336576,4944
Sahelian,Sahel,SM,0.0359311427701737,0.0520128853457797,0.0160817425756059,0.0116951828822493,78.37783171521036,4944
Sahelian,Sahel,LH,0.0979173485288727,0.1112472287573796,0.0133298802285069,0.0101368501782417,62.66181229773464,4944
Sahelian,Sahel,SH,0.0558070873685427,0.1153798542543485,0.0595727668858058,0.0195996155962348,78.80258899676376,4944
Amazon,Amazon,AlbedoLoss,0.0292551569562868,0.1151969405204483,0.0859417835641614,0.0818262826651334,99.4724446537918,10615
Amazon,Amazon,Rn,0.0404513141129048,0.061131601322892,0.0206802872099872,0.019119631499052,81.27178520960905,10615
Amazon,Amazon,SM,0.044394494123691,0.0881672239753285,0.0437727298516375,0.0449837185442447,97.5694771549694,10615
Amazon,Amazon,LH,0.1003992393377519,0.1144667980018901,0.0140675586641382,0.0111537724733352,61.394253414978806,10615
Amazon,Amazon,SH,0.0702449285654192,0.1207569175348227,0.0505119889694035,0.0464965477585792,82.47762600094207,10615
III Tropical South,Tropical/Southern,AlbedoLoss,0.0416259332266412,0.1003840097697519,0.0587580765431107,0.0652676522731781,90.220712880493,176383
III Tropical South,Tropical/Southern,Rn,0.0300179378411676,0.0390061295946618,0.0089881917534941,0.0051968935877084,65.80849628365544,176383
III Tropical South,Tropical/Southern,SM,0.0483945486946323,0.0697481369061178,0.0213535882114855,0.0164958797395229,77.65034045231116,176383
III Tropical South,Tropical/Southern,LH,0.1030609651791379,0.1078357049126169,0.0047747397334789,-0.0012807771563529,48.72181559447339,176383
III Tropical South,Tropical/Southern,SH,0.0927064292350408,0.1343226691735094,0.0416162399384685,0.0207606758922338,77.0459738183385,176383
